373.684210526,373.684210526,94.7368421053,0.0,68.4210526316,64.8497512438,0.0,65.132233569,65.7711442786,63.5789473684,57.5860696517,0.0,58.9997381513,65.7711442786,0.0161708478304,[[10, 4, 5], [5, 7, 7], [5, 7, 7], [5, 8, 6], [7, 5, 7]],[[98, 49, 54], [69, 67, 65], [38, 96, 67], [51, 83, 67], [88, 58, 55]],[88.88888888888889, 88.88888888888889, 100.0, 100.0],[100.0, 100.0, 100.0, 100.0]
130.985915493,489.473684211,73.6842105263,84.5070422535,68.4210526316,65.992039801,64.8497512438,65.9125425504,65.6251082894,63.5789473684,57.6258706468,57.5860696517,59.5339094004,57.9881686097,0.0179914007419,[[10, 4, 5], [5, 7, 7], [5, 7, 7], [5, 8, 6], [7, 5, 7]],[[83, 54, 64], [74, 78, 49], [66, 82, 53], [52, 84, 65], [77, 60, 64]],[88.88888888888889, 88.88888888888889, 100.0, 100.0],[100.0, 100.0, 100.0, 100.0]
97.8494623656,478.947368421,42.1052631579,78.4946236559,68.4210526316,65.5184079602,65.992039801,66.8656716418,66.0023266751,63.5789473684,57.3034825871,57.6258706468,60.3246923278,57.6159005965,0.0196858300384,[[10, 4, 5], [5, 7, 7], [5, 7, 7], [5, 8, 6], [7, 5, 7]],[[73, 68, 60], [81, 79, 41], [70, 87, 44], [80, 67, 54], [77, 77, 47]],[88.88888888888889, 88.88888888888889, 100.0, 100.0],[100.0, 100.0, 100.0, 100.0]
103.296703297,494.736842105,42.1052631579,78.021978022,68.4210526316,63.9223880597,65.5184079602,66.4152919612,64.9073042746,63.5789473684,55.5452736318,57.3034825871,60.1309243257,56.5278087176,0.0194299848213,[[10, 4, 5], [5, 7, 7], [5, 7, 7], [5, 8, 6], [7, 5, 7]],[[78, 62, 61], [85, 80, 36], [81, 81, 39], [77, 94, 30], [93, 63, 45]],[88.88888888888889, 88.88888888888889, 100.0, 100.0],[100.0, 100.0, 100.0, 100.0]
104.255319149,515.789473684,42.1052631579,85.1063829787,68.4210526316,63.4865671642,63.9223880597,66.5619272061,63.5964456325,63.5789473684,55.4487562189,55.5452736318,60.6546216287,55.3476399099,0.0238042596037,[[10, 4, 5], [5, 7, 7], [5, 7, 7], [5, 8, 6], [7, 5, 7]],[[81, 63, 57], [85, 75, 41], [75, 92, 34], [93, 78, 30], [97, 66, 38]],[88.88888888888889, 88.88888888888889, 100.0, 100.0],[100.0, 100.0, 100.0, 100.0]
104.081632653,536.842105263,42.1052631579,86.7346938776,68.4210526316,63.3910447761,63.4865671642,67.0437287248,63.5325858271,63.5789473684,56.4427860697,55.4487562189,61.3616129877,56.093661048,0.0204377998765,[[10, 4, 5], [5, 7, 7], [5, 7, 7], [5, 8, 6], [7, 5, 7]],[[70, 79, 52], [81, 92, 28], [92, 74, 35], [88, 81, 32], [88, 69, 44]],[88.88888888888889, 88.88888888888889, 100.0, 100.0],[100.0, 100.0, 100.0, 100.0]
96.0784313725,515.789473684,47.3684210526,80.3921568627,68.4210526316,62.8358208955,63.3910447761,66.8185388845,62.9830944779,63.5789473684,56.039800995,56.4427860697,61.0788164441,56.1283136556,0.0210245970985,[[10, 4, 5], [5, 7, 7], [5, 7, 7], [5, 8, 6], [7, 5, 7]],[[86, 71, 44], [89, 87, 25], [89, 80, 32], [91, 75, 35], [84, 79, 38]],[88.88888888888889, 88.88888888888889, 100.0, 100.0],[100.0, 100.0, 100.0, 100.0]
88.7755102041,457.894736842,52.6315789474,77.5510204082,68.4210526316,61.7303482587,62.8358208955,67.0123068866,62.2246974085,63.5789473684,55.1930348259,56.039800995,61.408745745,55.5342689537,0.0219840090388,[[10, 4, 5], [5, 7, 7], [5, 7, 7], [5, 8, 6], [7, 5, 7]],[[81, 74, 46], [105, 79, 17], [97, 75, 29], [90, 88, 23], [79, 73, 49]],[88.88888888888889, 88.88888888888889, 100.0, 100.0],[100.0, 88.88888888888889, 100.0, 100.0]
98.8505747126,452.631578947,42.1052631579,89.6551724138,68.4210526316,61.3582089552,61.7303482587,67.2846294842,61.3410559145,63.5789473684,55.3154228856,55.1930348259,62.0214715894,55.046657261,0.023413661503,[[10, 4, 5], [5, 7, 7], [5, 7, 7], [5, 8, 6], [7, 5, 7]],[[80, 81, 40], [109, 77, 15], [102, 72, 27], [92, 77, 32], [85, 72, 44]],[88.88888888888889, 88.88888888888889, 100.0, 100.0],[100.0, 88.88888888888889, 100.0, 100.0]
96.511627907,436.842105263,26.3157894737,84.8837209302,68.4210526316,60.9542288557,61.3582089552,67.2217858078,61.0009653226,63.5789473684,55.4965174129,55.3154228856,62.1576328882,55.2540778694,0.0248940329431,[[10, 4, 5], [5, 7, 7], [5, 7, 7], [5, 8, 6], [7, 5, 7]],[[79, 67, 55], [105, 82, 14], [106, 71, 24], [97, 80, 24], [88, 71, 42]],[88.88888888888889, 88.88888888888889, 100.0, 100.0],[100.0, 88.88888888888889, 100.0, 100.0]
106.024096386,463.157894737,36.8421052632,87.9518072289,68.4210526316,60.2646766169,60.9542288557,67.6616915423,60.4697903517,63.5789473684,54.4726368159,55.4965174129,62.2676093218,54.8803247444,0.0248173951447,[[10, 4, 5], [5, 7, 7], [5, 7, 7], [5, 8, 6], [7, 5, 7]],[[75, 79, 47], [106, 77, 18], [120, 63, 18], [99, 73, 29], [87, 74, 40]],[88.88888888888889, 88.88888888888889, 100.0, 100.0],[100.0, 100.0, 100.0, 100.0]
