273.684210526,273.684210526,100.0,0.0,61.8947368421,62.1256281407,0.0,60.8894736842,70.7,59.7894736842,59.1748743719,0.0,58.2631578947,70.7,0.013238743205,[[5, 4, 10], [5, 6, 8], [10, 6, 3], [1, 5, 13], [7, 5, 7]],[[51, 48, 101], [46, 70, 84], [102, 58, 40], [22, 58, 120], [72, 54, 74]],[100.0, 88.88888888888889, 77.77777777777779, 66.66666666666666],[100.0, 100.0, 100.0, 100.0]
165.384615385,452.631578947,78.9473684211,82.6923076923,61.8947368421,64.9025125628,62.1256281407,63.9947368421,64.377,59.7894736842,60.2020100503,59.1748743719,59.9052631579,60.2325,0.0146029224978,[[5, 4, 10], [5, 6, 8], [10, 6, 3], [1, 5, 13], [7, 5, 7]],[[65, 46, 89], [54, 72, 74], [72, 42, 86], [44, 54, 102], [73, 61, 66]],[100.0, 88.88888888888889, 77.77777777777779, 66.66666666666666],[100.0, 100.0, 100.0, 100.0]
124.418604651,563.157894737,73.6842105263,80.2325581395,61.8947368421,66.0,64.9025125628,66.2789473684,65.6465,59.7894736842,60.6271356784,60.2020100503,60.6157894737,60.3205,0.0131021301659,[[5, 4, 10], [5, 6, 8], [10, 6, 3], [1, 5, 13], [7, 5, 7]],[[66, 46, 88], [67, 68, 65], [57, 51, 92], [65, 62, 73], [64, 63, 73]],[100.0, 88.88888888888889, 77.77777777777779, 66.66666666666666],[100.0, 100.0, 100.0, 100.0]
112.14953271,631.578947368,78.9473684211,73.8317757009,61.8947368421,66.1055276382,66.0,65.7842105263,66.2525,59.7894736842,61.424120603,60.6271356784,60.8052631579,61.204,0.0134573912855,[[5, 4, 10], [5, 6, 8], [10, 6, 3], [1, 5, 13], [7, 5, 7]],[[65, 62, 73], [51, 80, 69], [63, 64, 73], [67, 48, 85], [50, 67, 83]],[100.0, 88.88888888888889, 77.77777777777779, 66.66666666666666],[100.0, 100.0, 100.0, 100.0]
94.1666666667,594.736842105,68.4210526316,72.5,61.8947368421,66.3055276382,66.1055276382,65.9263157895,65.9675,59.7894736842,61.7035175879,61.424120603,61.2842105263,61.385,0.0129785460508,[[5, 4, 10], [5, 6, 8], [10, 6, 3], [1, 5, 13], [7, 5, 7]],[[67, 63, 70], [53, 72, 75], [55, 71, 74], [60, 56, 84], [51, 70, 79]],[100.0, 88.88888888888889, 77.77777777777779, 66.66666666666666],[100.0, 100.0, 100.0, 100.0]
98.2300884956,584.210526316,36.8421052632,71.6814159292,61.8947368421,66.3969849246,66.3055276382,66.0684210526,66.194,59.7894736842,61.6974874372,61.7035175879,61.3368421053,61.5645,0.0133934905855,[[5, 4, 10], [5, 6, 8], [10, 6, 3], [1, 5, 13], [7, 5, 7]],[[68, 68, 64], [56, 61, 83], [67, 56, 77], [60, 61, 79], [52, 72, 76]],[100.0, 88.88888888888889, 77.77777777777779, 66.66666666666666],[100.0, 100.0, 100.0, 100.0]
110.810810811,647.368421053,63.1578947368,71.1711711712,61.8947368421,66.1306532663,66.3969849246,65.6789473684,66.2815,59.7894736842,59.9386934673,61.6974874372,60.2421052632,60.844,0.0128815969922,[[5, 4, 10], [5, 6, 8], [10, 6, 3], [1, 5, 13], [7, 5, 7]],[[58, 66, 76], [56, 81, 63], [71, 58, 71], [51, 72, 77], [45, 73, 82]],[100.0, 88.88888888888889, 77.77777777777779, 66.66666666666666],[100.0, 100.0, 100.0, 100.0]
89.4308943089,578.947368421,52.6315789474,67.4796747967,61.8947368421,66.3989949749,66.1306532663,66.4473684211,66.404,59.7894736842,60.8110552764,59.9386934673,61.1842105263,60.446,0.0133730696544,[[5, 4, 10], [5, 6, 8], [10, 6, 3], [1, 5, 13], [7, 5, 7]],[[56, 78, 66], [53, 66, 81], [58, 74, 68], [59, 68, 73], [56, 81, 63]],[100.0, 88.88888888888889, 77.77777777777779, 66.66666666666666],[100.0, 100.0, 100.0, 100.0]
100.909090909,584.210526316,57.8947368421,70.0,61.8947368421,65.6864321608,66.3989949749,67.1421052632,66.428,59.7894736842,60.0261306533,60.8110552764,61.1105263158,60.639,0.0130779831687,[[5, 4, 10], [5, 6, 8], [10, 6, 3], [1, 5, 13], [7, 5, 7]],[[69, 58, 73], [58, 58, 84], [37, 81, 82], [57, 85, 58], [67, 56, 77]],[100.0, 88.88888888888889, 77.77777777777779, 66.66666666666666],[100.0, 100.0, 100.0, 100.0]
104.504504505,610.526315789,52.6315789474,78.3783783784,61.8947368421,66.2452261307,65.6864321608,67.1105263158,65.965,59.7894736842,60.1668341709,60.0261306533,61.1105263158,60.0975,0.0129759533249,[[5, 4, 10], [5, 6, 8], [10, 6, 3], [1, 5, 13], [7, 5, 7]],[[60, 76, 64], [52, 68, 80], [52, 79, 69], [65, 76, 59], [58, 58, 84]],[100.0, 88.88888888888889, 77.77777777777779, 66.66666666666666],[100.0, 100.0, 100.0, 100.0]
100.862068966,615.789473684,57.8947368421,70.6896551724,61.8947368421,66.1608040201,66.2452261307,66.3368421053,66.211,59.7894736842,60.7226130653,60.1668341709,61.2684210526,60.3855,0.0131114815865,[[5, 4, 10], [5, 6, 8], [10, 6, 3], [1, 5, 13], [7, 5, 7]],[[58, 71, 71], [48, 86, 66], [50, 76, 74], [52, 76, 72], [71, 59, 70]],[100.0, 88.88888888888889, 77.77777777777779, 66.66666666666666],[100.0, 100.0, 100.0, 100.0]
102.564102564,631.578947368,42.1052631579,78.6324786325,61.8947368421,66.0070351759,66.1608040201,66.9263157895,66.207,59.7894736842,61.4512562814,60.7226130653,62.0631578947,61.2245,0.0132086849924,[[5, 4, 10], [5, 6, 8], [10, 6, 3], [1, 5, 13], [7, 5, 7]],[[75, 62, 63], [62, 81, 57], [59, 68, 73], [44, 95, 61], [62, 75, 63]],[100.0, 88.88888888888889, 77.77777777777779, 66.66666666666666],[100.0, 100.0, 100.0, 100.0]
