416.666666667,416.666666667,94.4444444444,0.0,65.6842105263,65.1134328358,0.0,64.4057490326,71.2437810945,61.1578947368,58.6567164179,0.0,58.9552238806,71.2437810945,0.0203504335201,[[3, 6, 9], [7, 5, 6], [6, 9, 3], [5, 9, 4], [6, 4, 8]],[[35, 75, 91], [65, 59, 77], [51, 89, 61], [66, 89, 46], [72, 54, 75]],[88.88888888888889, 88.88888888888889, 77.77777777777779, 88.88888888888889],[100.0, 100.0, 100.0, 100.0]
124.0,516.666666667,61.1111111111,80.0,65.6842105263,65.9402985075,65.1134328358,66.0862354892,65.9701492537,61.1578947368,59.92039801,58.6567164179,60.5638474295,59.6173362045,0.0236726340752,[[3, 6, 9], [7, 5, 6], [6, 9, 3], [5, 9, 4], [6, 4, 8]],[[65, 74, 62], [49, 73, 79], [46, 86, 69], [53, 88, 60], [61, 71, 69]],[88.88888888888889, 88.88888888888889, 77.77777777777779, 88.88888888888889],[100.0, 100.0, 100.0, 100.0]
91.3978494624,472.222222222,55.5555555556,76.3440860215,65.6842105263,65.9333333333,65.9402985075,66.368159204,66.0859879706,61.1578947368,59.2199004975,59.92039801,60.3869541183,59.7836687211,0.0239987559559,[[3, 6, 9], [7, 5, 6], [6, 9, 3], [5, 9, 4], [6, 4, 8]],[[79, 62, 60], [52, 92, 57], [65, 79, 57], [54, 83, 64], [54, 69, 78]],[88.88888888888889, 88.88888888888889, 77.77777777777779, 88.88888888888889],[100.0, 88.88888888888889, 88.88888888888889, 100.0]
92.9411764706,438.888888889,33.3333333333,78.8235294118,65.6842105263,66.0218905473,65.9333333333,66.2299613046,66.1993515012,61.1578947368,59.5830845771,59.2199004975,60.5804311774,59.4802108859,0.0251981543303,[[3, 6, 9], [7, 5, 6], [6, 9, 3], [5, 9, 4], [6, 4, 8]],[[63, 67, 71], [55, 69, 77], [49, 86, 66], [61, 74, 66], [43, 84, 74]],[88.88888888888889, 88.88888888888889, 77.77777777777779, 88.88888888888889],[100.0, 100.0, 100.0, 100.0]
97.4683544304,427.777777778,33.3333333333,88.6075949367,65.6842105263,65.9452736318,66.0218905473,66.1083471531,65.8320338605,61.1578947368,60.031840796,59.5830845771,60.674405749,59.7044627608,0.0269022843102,[[3, 6, 9], [7, 5, 6], [6, 9, 3], [5, 9, 4], [6, 4, 8]],[[62, 67, 72], [47, 73, 81], [45, 89, 67], [53, 80, 68], [61, 75, 65]],[88.88888888888889, 88.88888888888889, 77.77777777777779, 88.88888888888889],[100.0, 100.0, 88.88888888888889, 100.0]
100.0,427.777777778,55.5555555556,88.3116883117,65.6842105263,65.5940298507,65.9452736318,65.9812050857,65.5325363234,61.1578947368,59.3771144279,60.031840796,60.2542841349,59.5688225539,0.0280086941274,[[3, 6, 9], [7, 5, 6], [6, 9, 3], [5, 9, 4], [6, 4, 8]],[[66, 61, 74], [44, 77, 80], [47, 92, 62], [48, 79, 74], [52, 74, 75]],[88.88888888888889, 88.88888888888889, 77.77777777777779, 88.88888888888889],[100.0, 88.88888888888889, 88.88888888888889, 100.0]
105.194805195,450.0,55.5555555556,89.6103896104,65.6842105263,65.8547263682,65.5940298507,66.7440574903,65.9062894483,61.1578947368,59.2955223881,59.3771144279,60.7794361526,59.608425534,0.0270881416532,[[3, 6, 9], [7, 5, 6], [6, 9, 3], [5, 9, 4], [6, 4, 8]],[[68, 78, 55], [62, 83, 56], [55, 79, 67], [51, 75, 75], [42, 83, 76]],[88.88888888888889, 88.88888888888889, 77.77777777777779, 88.88888888888889],[88.88888888888889, 88.88888888888889, 100.0, 100.0]
98.7654320988,444.444444444,55.5555555556,86.4197530864,65.6842105263,65.5154228856,65.8547263682,66.2631288004,65.6226331031,61.1578947368,58.8786069652,59.2955223881,60.2100608071,59.0866562709,0.0288769199674,[[3, 6, 9], [7, 5, 6], [6, 9, 3], [5, 9, 4], [6, 4, 8]],[[64, 78, 59], [43, 84, 74], [52, 88, 61], [45, 79, 77], [50, 73, 78]],[88.88888888888889, 88.88888888888889, 77.77777777777779, 88.88888888888889],[88.88888888888889, 88.88888888888889, 100.0, 100.0]
105.0,466.666666667,50.0,92.5,65.6842105263,65.2119402985,65.5154228856,66.3128800442,65.4300636123,61.1578947368,58.8766169154,58.8786069652,60.3537866224,58.97873815,0.0246523659209,[[3, 6, 9], [7, 5, 6], [6, 9, 3], [5, 9, 4], [6, 4, 8]],[[77, 52, 72], [50, 80, 71], [45, 84, 72], [41, 90, 70], [45, 82, 74]],[88.88888888888889, 88.88888888888889, 77.77777777777779, 88.88888888888889],[100.0, 88.88888888888889, 100.0, 100.0]
95.2380952381,444.444444444,38.8888888889,88.0952380952,65.6842105263,65.3552238806,65.2119402985,67.0204532891,65.2171975941,61.1578947368,59.3393034826,58.8766169154,61.1111111111,59.0054701616,0.0247400670415,[[3, 6, 9], [7, 5, 6], [6, 9, 3], [5, 9, 4], [6, 4, 8]],[[88, 62, 51], [50, 74, 77], [46, 88, 67], [49, 81, 71], [49, 87, 65]],[88.88888888888889, 88.88888888888889, 77.77777777777779, 88.88888888888889],[88.88888888888889, 88.88888888888889, 100.0, 100.0]
106.25,472.222222222,44.4444444444,92.5,65.6842105263,64.592039801,65.3552238806,66.9541182974,64.9944308309,61.1578947368,58.7940298507,59.3393034826,61.1055831951,59.0698250043,0.0251125367899,[[3, 6, 9], [7, 5, 6], [6, 9, 3], [5, 9, 4], [6, 4, 8]],[[68, 63, 70], [41, 80, 80], [38, 86, 77], [47, 77, 77], [39, 100, 62]],[88.88888888888889, 88.88888888888889, 77.77777777777779, 88.88888888888889],[100.0, 88.88888888888889, 88.88888888888889, 88.88888888888889]
